experiment,family,method,streaming,repo,phase,evaluated,generated,generation_failures,wer,cer,wer_ci95,cer_ci95,raw_wer,raw_cer,mer,wil,wip,exact_match,rtf,latency_p50_s,latency_p95_s,ttfa_p50_s,peak_vram_mib,silence_ratio,clipping_ratio,rms_dbfs,dnsmos_sig,dnsmos_bak,dnsmos_ovrl,dnsmos_p808,utmos22_mos,wavlm_sim_similarity
kokoro--preset_voice,kokoro,preset_voice,False,hexgrad/Kokoro-82M,pilot,8,8,0,0.06593406593406594,0.02012072434607646,"[0.0, 0.1522157190635451]","[0.0, 0.04671327627388534]",,,0.06521739130434782,0.10687115082719478,0.8931288491728052,,0.018835664974699774,0.08372832089662552,0.09196856375783681,,437.20458984375,0.35714497202343876,0.0,-26.356581008471956,3.6303705026246345,4.176896223554053,3.4082792201646743,4.1863991022109985,4.504822134971619,
vits--default,vits,default,False,facebook/mms-tts-eng,pilot,8,8,0,0.04395604395604396,0.01609657947686117,"[0.0, 0.10975944786920397]","[0.0, 0.04054535696592723]",,,0.043478260869565216,0.07501194457716198,0.924988055422838,,0.021798756963936045,0.07819966413080692,0.21245662048459046,,216.96240234375,0.2166782337946474,0.0,-18.394684081196267,3.6320561725448264,4.135271323866035,3.38710418157243,4.000026881694794,4.148141384124756,
