model,name,protocol,checkpoint,revision,scored,generated,generation_failures,generation_failure_rate,wer,cer,rtf,latency_p50_s,latency_p95_s,peak_vram_mib,mer,wil,wip,exact_match_rate
inflecttts,InflectTTS,Original provider configuration,owensong/Inflect-Micro-v2,132edf8700da8e0d3fa81cdc0fd8844926fc6582,1088,,,,0.017583521728208994,0.0058918050348152114,0.014407729416794657,0.060717109590768814,0.07416072003543377,174.49169921875,0.017562933846282512,0.03222911364088443,0.9677708863591156,0.8566176470588235
orpheustts,OrpheusTTS,Original provider configuration,canopylabs/orpheus-3b-0.1-ft,4206a56e5a68cf6cf96900a8a78acd3370c02eb6,1088,,,,0.020011722347818808,0.007692078795453193,2.5830602675349486,11.744120076298714,17.74872815031558,6409.50244140625,0.019973257563095436,0.03503674213176289,0.9649632578682371,0.8373161764705882
zonos,Zonos,Original provider configuration,Zyphra/Zonos-v0.1-transformer,9d8331fc49cb5ba8aad2bb56cafd809c66598f4e,1088,,,,0.02302604035836892,0.0096411355115158,1.7680858104657158,6.9678456503897905,10.227166134119033,4144.82080078125,0.022951093306626605,0.037599506467079435,0.9624004935329206,0.8023897058823529
gptsovits,GPTSoVITS,Original provider configuration,lj1995/GPT-SoVITS,336b2ec4e8d4ac74740798dd40af44e74659ecaf,1088,,,,0.02637528259231349,0.008703802892340653,0.3222476706943061,1.066016722470522,1.7044374926015722,764.4111328125,0.02626532143750521,0.04524414603704274,0.9547558539629573,0.8226102941176471
melotts,MeloTTS,Original provider configuration,EN,,1088,,,,0.02637528259231349,0.01065285960840326,0.019975049763602603,0.1015011165291071,0.11808984335511923,506.787109375,0.026328986960882646,0.048229403790975844,0.9517705962090242,0.7766544117647058
parlertts,ParlerTTS,Original provider configuration,parler-tts/parler-tts-mini-v1,0392b9451a601e528fd863bbb0598431fee810d9,1088,,,,0.026542744704010718,0.0144617032672737,1.8774146532842886,6.555586036294699,11.28402764480561,4507.4521484375,0.026438698915763136,0.04502352105370688,0.9549764789462931,0.8079044117647058
csm,CSM,Original provider configuration,sesame/csm-1b,c92a71e1c419772e25be7dc14d952c2521a740ab,1088,,,,0.026710206815707946,0.014878295542462656,2.2531292765703044,8.784898072481155,15.126542358100414,4330.97998046875,0.026462048942347573,0.04070971618598751,0.9592902838140125,0.8088235294117647
voxcpm,VoxCPM,Original provider configuration,openbmb/VoxCPM2,bffb3df5a29440629464e5e839f4d214c8714c3d,1088,,,,0.0334924223394457,0.02599238231268226,0.8742893887299773,3.0798537097871304,4.482512011565265,5568.4033203125,0.032706459525756335,0.04076054667222251,0.9592394533277775,0.8363970588235294
openvoice,OpenVoice,Original provider configuration,myshell-ai/OpenVoiceV2,f36e7edfe1684461a8343844af60babc2efbb727,1088,,,,0.03684166457339027,0.015904897934892578,0.041566943720588286,0.18259630538523197,0.22698942646384238,752.9150390625,0.03674014696058784,0.06683946355663117,0.9331605364433688,0.7205882352941176
vits,Vits,Original provider configuration,facebook/mms-tts-eng,c71de0fe7204c83f1c10820a7d696d0b450048ba,1088,,,,0.062295905551369005,0.02673629708980539,0.036346979152729886,0.1107128206640482,0.3603286813944578,161.82177734375,0.061881393994843215,0.10974369514421811,0.8902563048557819,0.6084558823529411
bark,Bark,Original provider configuration,suno/bark-small,1dbd7a128513b8ae4a4e2130fed57b7ac9da5bcd,1088,,,,0.07736749560411957,0.049648872225197885,1.3509386013124312,7.324050920084119,17.736357633210712,1866.55224609375,0.07522592200602458,0.11118412348963358,0.8888158765103664,0.6461397058823529
conversationtts,ConversationTTS,Original provider configuration,artifacts/conversationtts/model.safetensors,,1088,,,,0.08716402913840743,0.0824703921918705,2.6722347402449587,11.374369565397501,21.11884947624052,4320.94140625,0.08171756024805715,0.0985030718625245,0.9014969281374755,0.765625
vui,Vui,Original provider configuration,vui-abraham-100m.pt,,1088,,,,0.12149376203633928,0.08397310004165923,0.4120764092569282,1.9950699619948864,2.9318609584122894,3020.765625,0.11439608956165248,0.15491850701861398,0.845081492981386,0.4963235294117647
dia,Dia,Original provider configuration,nari-labs/Dia-1.6B-0626,ef2795fcc29c5abe6ffc91fd33808588b49bbc66,1088,,,,0.673532613246253,0.5928256858894245,3.1889203149742467,35.84547644108534,95.22943165823817,9100.61865234375,0.5234934270467265,0.6199658900150475,0.3800341099849525,0.4522058823529412
